t,o,h,l,c,v,datetime
1705731120,1004.95,1005.95,1004.65,1005.9,22662,20-01-2024 11:42
1705731300,1005.55,1005.9,1005,1005.5,19034,20-01-2024 11:45
1705731480,1005.55,1005.75,1004.5,1004.8,23082,20-01-2024 11:48
1705731660,1004.9,1005.35,1004,1005.05,43956,20-01-2024 11:51
1705731840,1005.05,1005.95,1004.95,1005.3,35539,20-01-2024 11:54
1705732020,1005.8,1005.9,1004.5,1005.45,36712,20-01-2024 11:57
1705732200,1005.45,1005.6,1005.15,1005.2,6097,20-01-2024 12:00
1705732380,1005.2,1005.25,1004.05,1004.35,10689,20-01-2024 12:03
1705732560,1004.05,1004.5,1003.35,1003.75,8372,20-01-2024 12:06
1705732740,1003.9,1004,1003.25,1003.5,7933,20-01-2024 12:09
1705732920,1003.25,1003.5,1002.8,1003.2,10752,20-01-2024 12:12
1705733100,1002.95,1003.65,1002.4,1002.75,32810,20-01-2024 12:15
1705733280,1002.8,1005.65,1002.35,1005.65,30880,20-01-2024 12:18
1705733460,1005.65,1006.1,1004.35,1004.9,58943,20-01-2024 12:21
1705733640,1004.9,1005,1004.25,1004.5,11359,20-01-2024 12:24
1705733820,1004.4,1005.55,1003.15,1004.85,42651,20-01-2024 12:27
1705734000,1005,1005.3,1002.8,1003.05,55573,20-01-2024 12:30
1705734180,1003.05,1003.4,998.05,999.9,245135,20-01-2024 12:33
1705734360,999.5,1000.95,998.4,998.8,157369,20-01-2024 12:36
1705734540,998.8,1001.15,998.05,998.05,304955,20-01-2024 12:39
1705734720,998.15,998.95,995.3,996.95,204648,20-01-2024 12:42
1705734900,996.55,1001.05,996.3,1000.85,149656,20-01-2024 12:45
1705735080,1000.9,1004.4,1000.4,1003.9,111805,20-01-2024 12:48
1705735260,1003.9,1004,1002.1,1002.6,27709,20-01-2024 12:51
1705735440,1002.25,1005.5,1001.8,1005.1,267937,20-01-2024 12:54
1705735620,1005.25,1008.15,1005.2,1008.05,242465,20-01-2024 12:57
1705735800,1007.75,1009.3,1006.6,1008.75,96997,20-01-2024 13:00
1705735980,1008.5,1008.9,1007.85,1008.15,25061,20-01-2024 13:03
1705736160,1008.4,1010,1007.65,1009.4,147544,20-01-2024 13:06
1705736340,1009.4,1009.45,1008.35,1008.85,28458,20-01-2024 13:09
1705736520,1008.9,1010,1008.4,1010,51606,20-01-2024 13:12
1705736700,1009.65,1009.95,1009.2,1009.7,49988,20-01-2024 13:15
1705736880,1009.7,1010,1007.85,1009.75,74178,20-01-2024 13:18
1705737060,1009.9,1009.95,1008.05,1009.75,59957,20-01-2024 13:21
1705737240,1009.85,1013.45,1009.25,1012.95,188460,20-01-2024 13:24
1705737420,1013.15,1014.6,1011.6,1012.25,115600,20-01-2024 13:27
1705737600,1012.3,1012.65,1009.45,1009.45,47027,20-01-2024 13:30
1705737780,1009.5,1011,1009.2,1011,42698,20-01-2024 13:33
1705737960,1011,1011,1009.3,1010.3,40167,20-01-2024 13:36
